Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,Loan_Status
Male,Yes,1,Graduate,Yes,9225,2355,116,360,1.0,Urban,Y
Female,Yes,2,Not Graduate,No,2026,4278,53,360,1.0,Urban,Y
Male,Yes,0,Not Graduate,No,4724,4724,491,120,1.0,Urban,N
Male,No,0,Graduate,No,3375,2557,458,240,0.0,Urban,Y
Male,Yes,0,Graduate,No,3263,545,352,180,1.0,Semiurban,Y
Female,Yes,0,Graduate,Yes,7297,4719,343,240,0.0,Semiurban,Y
Male,No,3+,Not Graduate,No,8599,3835,192,180,1.0,Urban,Y
Male,Yes,0,Not Graduate,Yes,6609,593,240,360,0.0,Rural,Y
Male,No,3+,Not Graduate,Yes,8144,4839,70,240,0.0,Urban,Y
Female,No,3+,Not Graduate,Yes,1616,3804,276,180,0.0,Rural,N
Male,Yes,0,Graduate,Yes,3933,1459,362,120,0.0,Urban,N
Male,No,0,Graduate,Yes,6963,3493,166,360,1.0,Rural,Y
Male,Yes,1,Graduate,No,2083,2601,486,120,1.0,Urban,N
Male,No,2,Graduate,No,5288,2444,351,360,0.0,Rural,N
Female,No,0,Not Graduate,No,5667,2672,191,240,1.0,Urban,Y
Male,Yes,1,Not Graduate,No,9965,4200,450,240,1.0,Urban,N
Female,No,1,Graduate,Yes,2889,16,88,360,0.0,Rural,N
Female,No,2,Graduate,No,9857,3191,442,360,1.0,Semiurban,N
Female,No,3+,Not Graduate,Yes,7654,392,404,360,1.0,Rural,N
Male,No,0,Graduate,No,6920,424,301,240,1.0,Semiurban,N
Female,No,2,Not Graduate,Yes,3543,571,382,180,0.0,Urban,N
Male,Yes,0,Graduate,Yes,5697,3631,256,120,1.0,Rural,N
Female,No,1,Graduate,No,4996,1120,259,120,0.0,Rural,N
Female,Yes,1,Graduate,Yes,2278,241,164,240,1.0,Rural,Y
Female,No,3+,Graduate,Yes,1713,3897,274,120,1.0,Semiurban,Y
Female,Yes,1,Graduate,No,5262,4095,183,360,1.0,Semiurban,N
Female,Yes,1,Graduate,Yes,8231,2279,300,180,0.0,Urban,N
Female,No,2,Graduate,No,4617,788,268,120,0.0,Semiurban,Y
Female,No,0,Not Graduate,No,7291,714,456,180,1.0,Semiurban,N
Female,No,0,Not Graduate,No,4220,4854,492,360,0.0,Urban,N
